a52dec 0.7.4-9
python2-xlib 0.19-1
qca-qt5 2.1.3-4
qpdf 6.0.0-2
qt5-base 5.9.1-3
qt5-declarative 5.9.1-3
qt5-location 5.9.1-2
qt5-multimedia 5.9.1-2
qt5-script 5.9.1-2
qt5-sensors 5.9.1-2
qt5-speech 5.9.1-2
qt5-styleplugins 5.0.0-6
qt5-svg 5.9.1-2
qt5-webchannel 5.9.1-2
qt5-webengine 5.9.1-3
qt5-webkit 5.212.0alpha2-4
qt5-x11extras 5.9.1-2
qt5-xmlpatterns 5.9.1-2
qt5ct 0.33-2
randrproto 1.5.0-1
raptor 2.0.15-6
rasqal 1:0.9.33-1
re2 20170501-1
readline 7.0.003-1
recordproto 1.14.2-2
redland 1:1.0.17-4
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-2
rfkill 0.5-2
rhythmbox 3.4.1-3
rpcbind 0.2.4-3
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-3
run-parts 4.8.1-1
rust 1:1.19.0-1
s-nail 14.9.0-1
samba 4.6.5-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.8.0.r45.ga0bffe0-1
scrnsaverproto 1.2.2-2
sdl 1.2.15-8
sdl2 2.0.5-4
sdl_image 1.2.12-4
sed 4.4-1
semver 5.4.1-1
serf 1.3.9-2
shadow 4.4-3
shared-mime-info 1.8-1
sip 4.19.3-1
skypeforlinux-bin 5.4.0.1-1
slang 2.3.1a-1
smbclient 4.6.5-1
smplayer 17.7.0-1
snappy 1.1.4-1
solid 5.36.0-1
sonnet 5.36.0-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
source-highlight 3.1.8-12
spandsp 0.0.6-1
speedtest-cli 1.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
sqlite 3.19.3-1
sqlmap 1.1.6-1
startup-notification 0.12-5
steam-manjaro 1.0.0.54-8
subversion 1.9.6-1
sudo 1.8.20.p2-1
sysfsutils 2.1.0-9
system-config-printer 1.5.9-3
systemd 233.75-3
systemd-sysvcompat 233.75-3
taglib 1.11.1-1
talloc 2.1.9-1
tar 1.29-2
tdb 1.3.12-1
teamviewer 12.0.76279-6
telepathy-glib 0.24.1-1
terminus-font 4.46-1.1
tevent 1:0.9.31-1
texinfo 6.4-1
thin-provisioning-tools 0.7.0-1
thunderbird 52.2.1-1
tlp 1.0-1
totem-plparser 3.10.7+40+g3859685-1
traceroute 2.1.0-1
transmission-gtk 2.92-7
tree 1.7.0-2
tslib 1.11-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-droid 20121017-5
ttf-inconsolata 20151221.480630d-2
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-7
ttf-symbola 9.00-2
tzdata 2017b-1
uchardet 0.0.6-1
udisks2 2.7.1-2
uget 2.0.9-2
unibilium 1.2.0-1
unrar 1:5.5.6-2
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.30-2
v4l-utils 1.12.5-1
v86d 0.1.10-5
vala 0.36.4-1
vamp-plugin-sdk 2.6-1
vibrancy-colors 2.7-1
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0722-1
vim-runtime 8.0.0722-1
vino 3.22.0+3+g67773d0-1
visual-studio-code 1.14.2-1
vlc 2.2.6-2
volume_key 0.3.9-3
vpnc 0.5.3.svn550-2
vte 0.28.2-8
vte-common 0.48.3-1
vte3 0.48.3-1
vulkan-icd-loader 1.0.54.0-2
wavpack 5.1.0-1
wayland 1.13.0-1
wayland-protocols 1.9-1
webkit2gtk 2.16.6-1
webrtc-audio-processing 0.3-2
whatsapp-desktop 0.3.10-1
which 2.21-2
whois 5.2.16-1
wildmidi 0.4.1-1
wireless-regdb 2016.06.10-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-7
wxgtk-common 3.0.3.1-7
wxgtk2 3.0.3.1-7
x265 2.4-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcursor-breeze 1.0-2
xdg-su 1.2.3-1
xdg-user-dirs 0.15-4
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-elographics 1.4.1-7
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.25.1-1
xf86-input-mouse 1.9.2-3
xf86-input-synaptics 1.9.0-1
xf86-input-void 1.4.1-3
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.11.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.21-2
xmlto 0.0.28-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.3-2
xorg-server-common 1.19.3-2
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-twm 1.0.9-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-2
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.0-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.4-2
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-2
xproto 7.0.31-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.8.1-3
yelp 3.22.0+1+gfabd8eb-1
yelp-xsl 3.20.1-2
zd1211-firmware 1.5-1
zenity 3.24.0-1
zeromq 4.2.2-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-2
zoom 2.0.98253.0707-1
zsh 5.3.1-2
zvbi 0.2.35-1
