a52dec 0.7.4-9
gtk-engine-murrine 0.98.2-2.2
gtk-update-icon-cache 3.22.16-1
gtk2 2.24.31-1
gtk3 3.22.16-1
gtk3-print-backends 3.22.16-1
gtkmm 2.24.5-2
gtkmm3 3.22.1-1
gtksourceview3 3.24.3-1
gtkspell 2.0.16-3
guake 0.8.10-1
gucharmap 10.0.0-1
guile 2.2.2-1
gupnp 1.0.2-1
gutenprint 5.2.12-1
gvfs 1.32.1+3+gd852665e-1
gvfs-afc 1.32.1+3+gd852665e-1
gvfs-gphoto2 1.32.1+3+gd852665e-1
gvfs-mtp 1.32.1+3+gd852665e-1
gvfs-smb 1.32.1+3+gd852665e-1
gzip 1.8-2
harfbuzz 1.4.7-1
harfbuzz-icu 1.4.7-1
haveged 1.9.1-3
hdparm 9.52-1
hexchat 2.12.4-4
hicolor-icon-theme 0.15-1
hplip 3.17.6-2
hspell 1.3-1
htop 2.0.2-1
http-parser 2.7.1-1
hunspell 1.6.1-1
hwids 20170328-1
hwinfo 21.38-1
hyphen 2.8.8-1
i2c-tools 3.1.1-2
i2p 0.9.30-1
iana-etc 20170512-1
icu 59.1-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.3-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.4.10-1
indicator-kdeconnect 1:0.9.1-1
inetutils 1.9.4-5
iniparser 4.0-2
inputproto 2.3.2-1
intel-ucode 20170707-1
intltool 0.51.0-3
inxi 2.3.23-1
iproute2 4.12.0-2
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.75-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.13-2
java-environment-common 2-2
java-runtime-common 2-2
java-service-wrapper 3.5.32-1
jbig2dec 0.13-1
jdk8-openjdk 8.u141-1
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
jre8-openjdk 8.u141-1
jre8-openjdk-headless 8.u141-1
js 24.2.0-4
json-glib 1.2.8-1
jsoncpp 1.8.1-1
karchive 5.36.0-1
kauth 5.36.0-1
kbd 2.0.4-1
kbookmarks 5.36.0-1
kbproto 1.0.7-1
kcmutils 5.36.0-1
kcodecs 5.36.0-1
kcompletion 5.36.0-1
kconfig 5.36.0-1
kconfigwidgets 5.36.0-1
kcoreaddons 5.36.0-1
kcrash 5.36.0-1
kdbusaddons 5.36.0-1
kdeclarative 5.36.0-1
kdeconnect 1.0.3-1
keyutils 1.5.10-1
kglobalaccel 5.36.0-1
kguiaddons 5.36.0-1
ki18n 5.36.0-1
kiconthemes 5.36.0-1
kinit 5.36.0-1
kio 5.36.0-1
kitemmodels 5.36.0-1
kitemviews 5.36.0-1
kjobwidgets 5.36.0-1
kmod 24-1
knotifications 5.36.0-1
kpackage 5.36.0-1
krb5 1.15.1-1
kservice 5.36.0-1
ktextwidgets 5.36.0-1
kwallet 5.36.0-1
kwayland 5.36.0-1
kwidgetsaddons 5.36.0-1
kwindowsystem 5.36.0-1
kxmlgui 5.36.0-1
ladspa 1.13-6
lame 3.99.5-3
lcms 1.19-5
lcms2 2.8-2
ldb 1.1.29-1
ldns 1.7.0-3
less 487-1
lib32-alsa-lib 1.1.4.1-1
lib32-alsa-plugins 1.1.4-1
lib32-atk 2.24.0+4+gbf71ccc-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.10-1
lib32-dbus 1.10.18-1
lib32-e2fsprogs 1.43.4-1
lib32-expat 2.2.0-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.3-1
lib32-freetype2 2.8-2
lib32-gcc-libs 7.1.1-4
lib32-gdk-pixbuf2 2.36.6-1
lib32-glew 2.0.0-1
lib32-glib2 2.52.2+9+g3245eba16-1
lib32-glibc 2.25-5.1
lib32-glu 9.0.0-3
lib32-gmp 6.1.2-1
lib32-gnutls 3.5.13-1
lib32-gtk2 2.24.31-1
lib32-harfbuzz 1.4.6-1
lib32-icu 59.1-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.15.1-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcanberra 0.30-4
lib32-libcanberra-pulse 0.30-4
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
